Sample,gen,food,sex,id,ril.id,cross,mass,vol,astax,astax.mg,bcarot,bcarot.mg,hydroxy,hydroxy.mg,total.dietary,asta.to.dietary,asta.to.hydroxy,n,astax.cop,mito.type,group,round
139,Parental,MinimalCarot,F,BUF-8,BUF,BUFxBUF,0.131,0.06,0.16484,0.075499237,0,0,0,0,0,,,12,0.0008242,BUF,1,1
140,Parental,MinimalCarot,M,BR-7,BR,BRxBR,0.1,0.06,0.25693,0.154158,0.00526,0.003156,0.00317,0.001902,0.005058,30.47805457,81.05047319,11,0.001401436,BR,4,1
141,Parental,MinimalCarot,F,BR-8,BR,BRxBR,0.136,0.06,0.11571,0.051048529,0,0,0,0,0,,,13,0.000534046,BR,4,1
142,Parental,MinimalCarot,M,PES-4,PES,PESxPES,0.107,0.06,0.33371,0.187127103,0,0,0,0,0,,,12,0.00166855,PES,7,1
143,Parental,MinimalCarot,F,PES-5,PES,PESxPES,0.18,0.06,0.50277,0.16759,0,0,0,0,0,,,12,0.00251385,PES,7,1
144,Hybrid,MinimalCarot,M,PESAB20,PESAB20,PESxAB,0.106,0.06,0.54362,0.307709434,0,0,0,0,0,,,12,0.0027181,PES,6,1
145,Hybrid,MinimalCarot,F,PESAB20,PESAB20,PESxAB,0.141,0.06,0.58309,0.248123404,0,0,0,0,0,,,12,0.00291545,PES,6,1
146,Hybrid,MinimalCarot,M,BRSD50,BRSD50,BRxSD,0.126,0.06,0.12205,0.058119048,0,0,0,0,0,,,12,0.00061025,BR,5,1
147,Hybrid,MinimalCarot,F,BRSD50,BRSD50,BRxSD,0.162,0.06,0.13307,0.049285185,0,0,0.00275,0.001018519,0.001018519,48.38906785,48.38906785,12,0.00066535,BR,5,1
148,Hybrid,MinimalCarot,M,BUFSD4,BUFSD4,BUFxSD,0.086,0.06,0.14476,0.100995349,0.00599,0.00417907,0,0,0.00417907,24.1669436,,12,0.0007238,BUF,2,1
149,Hybrid,MinimalCarot,F,BUFSD4,BUFSD4,BUFxSD,0.115,0.06,0.12357,0.064471304,0,0,0.00194,0.001012174,0.001012174,63.69587047,63.69587047,12,0.00061785,BUF,2,1
150,Parental,Algae,M,SD-1,SD,SDxSD,0.135,0.06,0.3983,0.177022222,0.01119,0.004973333,0.05892,0.026186667,0.03116,5.681072593,6.760013483,15,0.0015932,SD,3,1
151,Parental,Algae,M,SD-2,SD,SDxSD,0.127,0.06,0.662,0.312755906,0.01424,0.006727559,0.06541,0.030902362,0.037629921,8.31136228,10.12077672,13,0.003055385,SD,3,1
152,Parental,Algae,M,SD-3,SD,SDxSD,0.112,0.06,0.58597,0.3139125,0.00266,0.001425,0.05321,0.028505357,0.029930357,10.48809742,11.01240374,13,0.002704477,SD,3,1
153,Parental,Algae,F,SD-4,SD,SDxSD,0.16,0.06,0.37461,0.14047875,0.00652,0.002445,0.08401,0.03150375,0.03394875,4.137965315,4.45911201,15,0.00149844,SD,3,1
